               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.055561,            0.028117,            0.019106,           0.0037563,                   1,            0.017944,            0.002263,            0.028832,             0.01073,            0.010189,            0.008416,            0.008416,            0.008416
                  50,            0.055601,            0.029125,            0.019144,           0.0037048,                   1,            0.032384,           0.0041615,            0.027577,            0.010821,           0.0095744,            0.008383,            0.008383,            0.008383
                  51,            0.055985,             0.03077,            0.020977,           0.0040847,                   1,            0.081237,            0.024901,             0.02662,            0.010881,            0.011392,             0.00835,             0.00835,             0.00835
                  52,            0.059894,            0.030866,             0.02091,           0.0039313,                   1,             0.11233,            0.018644,            0.027059,             0.01087,             0.01097,            0.008317,            0.008317,            0.008317
                  53,            0.059654,            0.027815,            0.020777,            0.002944,             0.83333,             0.18217,            0.023091,            0.029037,            0.010573,            0.010508,            0.008284,            0.008284,            0.008284
                  54,            0.057003,            0.029185,            0.020746,           0.0038227,                   1,             0.03291,           0.0051523,            0.029842,            0.010449,            0.010598,            0.008251,            0.008251,            0.008251
                  55,             0.04623,            0.027999,            0.017225,           0.0024757,             0.66667,           0.0055223,           0.0010498,            0.031934,            0.010215,            0.010372,            0.008218,            0.008218,            0.008218
                  56,            0.054886,            0.026655,            0.019434,           0.0015456,             0.33333,           0.0049483,           0.0008365,            0.031614,            0.010186,            0.010063,            0.008185,            0.008185,            0.008185
                  57,            0.056793,            0.027014,            0.018433,          0.00071429,             0.16667,           0.0035869,          0.00071738,            0.032117,           0.0099868,           0.0097875,            0.008152,            0.008152,            0.008152
                  58,            0.059084,             0.03029,             0.01729,           0.0018625,                 0.5,            0.010591,           0.0011547,            0.032442,           0.0098934,           0.0097103,            0.008119,            0.008119,            0.008119
                  59,            0.068629,            0.031644,            0.019366,           0.0024173,             0.66667,           0.0051797,          0.00056297,            0.032505,           0.0097004,            0.009368,            0.008086,            0.008086,            0.008086
                  60,            0.066057,            0.031661,            0.020513,           0.0017915,                 0.5,           0.0049815,          0.00056562,            0.031476,           0.0096842,           0.0092716,            0.008053,            0.008053,            0.008053
                  61,            0.053783,            0.028243,            0.019145,           0.0011976,             0.33333,           0.0020989,          0.00034505,            0.031738,           0.0093704,           0.0088919,             0.00802,             0.00802,             0.00802
                  62,            0.047886,            0.027399,            0.018652,           0.0011468,             0.33333,           0.0041433,          0.00045592,            0.032889,           0.0091536,           0.0088268,            0.007987,            0.007987,            0.007987
                  63,            0.054969,            0.029153,            0.018098,          0.00052083,             0.16667,           0.0016293,          0.00016293,            0.034698,           0.0088443,           0.0086554,            0.007954,            0.007954,            0.007954
                  64,            0.055995,            0.027475,            0.022104,          0.00049652,             0.16667,           0.0012453,          0.00012453,             0.03532,            0.008733,           0.0084869,            0.007921,            0.007921,            0.007921
                  65,            0.054402,            0.026459,            0.017311,           0.0005005,             0.16667,           0.0011017,          0.00011017,            0.035476,           0.0085565,           0.0084653,            0.007888,            0.007888,            0.007888
                  66,             0.06463,             0.02948,            0.018882,              0.0005,             0.16667,           0.0010712,          0.00010712,            0.035511,           0.0084295,           0.0084966,            0.007855,            0.007855,            0.007855
                  67,            0.059042,            0.023627,             0.01934,          0.00051975,             0.16667,          0.00098945,          9.8945e-05,            0.035524,           0.0083055,           0.0085098,            0.007822,            0.007822,            0.007822
                  68,            0.050224,            0.026333,             0.01769,          0.00052247,             0.16667,           0.0010367,          0.00010367,            0.035644,           0.0082995,           0.0084638,            0.007789,            0.007789,            0.007789
                  69,            0.053746,            0.026724,            0.018659,          0.00054348,             0.16667,           0.0011213,          0.00011213,            0.035877,           0.0083023,           0.0083362,            0.007756,            0.007756,            0.007756
